Id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag
150728,2074419,37,1,single,rented,no,Analyst,Kozhikode,Kerala,1,11,0
148628,3728026,48,17,single,rented,yes,Official,Nanded,Maharashtra,11,12,0
25237,7159687,38,5,single,rented,no,Computer_operator,Jalgaon,Maharashtra,3,11,0
110209,277326,45,9,single,rented,no,Economist,Medininagar,Jharkhand,9,13,0
187462,8822191,26,13,single,rented,no,Aviator,Gorakhpur,Uttar_Pradesh,3,10,1
1406,6828373,69,13,single,rented,yes,Statistician,Amaravati,Andhra_Pradesh,3,13,0
182807,520254,29,3,single,rented,no,Civil_engineer,Vellore,Tamil_Nadu,3,10,0
48023,2758097,31,19,single,rented,no,Graphic_Designer,Jalgaon,Maharashtra,3,13,0
159520,5028396,38,16,single,rented,no,Flight_attendant,"Khora,_Ghaziabad",Uttar_Pradesh,4,10,0
138906,2391564,46,15,single,rented,yes,Statistician,Thoothukudi,Tamil_Nadu,5,11,0
131825,1762916,68,16,single,rented,no,Geologist,Tinsukia,Assam,5,13,0
91838,5898669,32,9,married,rented,no,Firefighter,Aligarh,Uttar_Pradesh,6,13,0
94881,8759218,77,4,single,rented,no,Mechanical_engineer,Bokaro,Jharkhand,4,13,0
199984,6305461,41,11,single,rented,yes,Air_traffic_controller,Mirzapur,Uttar_Pradesh,7,14,0
46540,5795557,52,13,single,rented,no,Physician,Bardhaman,West_Bengal,5,13,0
43761,6129612,42,13,single,owned,no,Microbiologist,Amaravati,Andhra_Pradesh,6,12,0
239479,4485048,69,3,single,rented,no,Computer_operator,Chittoor[28],Andhra_Pradesh,3,13,0
224677,2149801,31,7,single,rented,no,Architect,Bathinda,Punjab,7,13,0
36261,8763038,72,13,single,rented,no,Technician,Thoothukudi,Tamil_Nadu,13,12,0
170782,8733563,76,17,single,rented,no,Official,Surat,Gujarat,12,14,0
222265,5775233,72,3,single,rented,yes,Civil_servant,Tenali,Andhra_Pradesh,3,14,0
156237,2561886,41,6,single,rented,yes,Chemical_engineer,Ramgarh,Jharkhand,5,14,0
101157,6840553,21,4,single,rented,no,Designer,Nagaon,Assam,4,14,0
227068,1217735,46,6,single,rented,yes,Physician,Pallavaram,Tamil_Nadu,6,14,0
177843,7724990,26,10,single,rented,no,Psychologist,Rourkela,Odisha,4,12,0
80564,8161703,34,2,married,rented,yes,Civil_servant,Siwan[32],Bihar,2,11,0
20056,7243585,57,15,single,rented,yes,Surveyor,Maheshtala,West_Bengal,9,11,0
104540,1051509,54,2,single,rented,no,Engineer,Dewas,Madhya_Pradesh,2,12,0
111725,9985964,28,8,married,rented,no,Psychologist,Kottayam,Kerala,8,13,0
212896,4295693,52,13,single,rented,no,Graphic_Designer,Deoghar,Jharkhand,6,13,0
162220,8739174,28,5,single,rented,no,Secretary,Dhanbad,Jharkhand,5,12,0
20375,8797493,55,15,single,rented,no,Technology_specialist,Coimbatore,Tamil_Nadu,12,13,0
146863,3204819,72,13,single,rented,no,Industrial_Engineer,Panihati,West_Bengal,12,14,0
47442,7233894,37,9,single,rented,no,Army_officer,Karaikudi,Tamil_Nadu,3,12,0
200588,931235,71,0,single,rented,no,Flight_attendant,Giridih,Jharkhand,0,13,0
10897,8791091,33,15,single,rented,no,Microbiologist,Karnal,Haryana,12,14,0
58990,9317976,34,10,single,rented,no,Air_traffic_controller,Ujjain,Madhya_Pradesh,10,14,0
95740,9162675,61,0,single,rented,no,Police_officer,Bhilai,Chhattisgarh,0,11,0
